Subject	Evaluator	SubjectID	CA1	CA2	CA3	CA4	CU1	CU2	CB	CN	CC	CE
1	E1	50755	0.236363636363636	0.371380471380471	0.488888888888889	0.834343434343435	0.27037037037037	0.632323232323232	0.11043771043771	0.127272727272727	0.0936026936026937	0.489225589225589
1	E2	50755	0.143771043771044	0.177777777777778	0.455218855218855	0.783838383838384	0.497643097643098	0.480808080808081	0.21986531986532	0.531313131313132	0.371380471380471	0.489225589225589
1	M	50755	0.284470172154028	0.403181891666667	0.587811509618388	0.768612017434047	0.479782609600246	0.47050105	0.368955559694879	0.367515785933937	0.256996081665048	0.404901197588255
2	E1	53525	0.312121212121212	0.337710437710438	0.48047138047138	0.564983164983165	0.371380471380471	0.472390572390572	0.05993265993266	0.0515151515151515	0.0683501683501685	0.438720538720539
2	E2	53525	0.236363636363636	0.337710437710438	0.455218855218855	0.564983164983165	0.295622895622896	0.455555555555556	0.236700336700337	0.295622895622896	0.0851851851851852	0.177777777777778
2	M	53525	0.266667993104825	0.389659814166667	0.525530602436748	0.604795913994292	0.326890867319518	0.491470450833333	0.311162157280622	0.251654587855535	0.0876930293767842	0.325354967564959
3	E1	55209	0.211111111111111	0.261952861952862	0.286868686868686	0.489225589225589	0.278787878787879	0.253535353535354	0.0683501683501685	0.110437710437711	0.0767676767676766	0.211447811447811
3	E2	55209	0.143771043771044	0.203030303030303	0.244781144781144	0.261952861952862	0.194612794612795	0.160942760942761	0.194612794612795	0.102020202020202	0.177777777777778	0.177777777777778
3	M	55209	0.242193529671535	0.24030295	0.345288762344552	0.49170846126125	0.249764013946174	0.268852226666667	0.221880917669982	0.220196953782741	0.104014163864655	0.24339297998874
4	E1	54329	0.0511784511784512	0.05993265993266	0.253198653198653	0.834343434343435	0.0262626262626263	0.497643097643097	0.0430976430976434	0.0599326599326595	0.118855218855219	0.421885521885522
4	E2	54329	0.11010101010101	0.102020202020202	0.194276094276094	0.876430976430977	0.295622895622896	0.598653198653199	0.11043771043771	0.236700336700337	0.177777777777778	0.228282828282829
4	M	54329	0.0593426141339017	0.127179164166667	0.280226546427573	0.756831250119497	0.196738459937147	0.520987924166667	0.183066260518764	0.223162555487044	0.175660503547627	0.344820994554242
5	E1	50722	0.0343434343434343	0.0767676767676766	0.362626262626262	0.623905723905724	0.0936026936026937	0.354545454545454	0.0346801346801349	0.0683501683501685	0.0683501683501685	0.598653198653199
5	E2	50722	0.0848484848484849	0.102020202020202	0.598316498316498	0.8006734006734	0.236700336700337	0.388215488215489	0.261952861952862	0.177777777777778	0.211447811447811	0.421885521885522
5	M	50722	0.0885995338680696	0.159232566666667	0.435779490023261	0.6320799041779	0.231975531358004	0.508502023333333	0.197681977374603	0.283151169402858	0.128209370570643	0.401129072718921
6	E1	55513	0.194276094276094	0.152525252525253	0.227946127946127	0.581818181818182	0.0936026936026937	0.160942760942761	0.0683501683501685	0.0262626262626263	0.0262626262626263	0.0515151515151515
6	E2	55513	0.177441077441078	0.127272727272727	0.253198653198653	0.6996632996633	0.211447811447811	0.245117845117845	0.160942760942761	0.203030303030303	0.0262626262626263	0.0430976430976434
6	M	55513	0.181380835433184	0.15327683	0.306298969093747	0.595581309307419	0.148071077742247	0.333446353333333	0.203006239776664	0.161076616478956	0.0575906466039327	0.105059316144932
